regulator,target,sign,K,half_response,hill_coefficient,source,mode,pmids
Sp3,Nrgn,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21068393
Myc,Nrgn,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21068393
Sp1,Nrp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19590177
E2f1,Nrp1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17178835
Trp53,Nupr1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11896600
Smad3,Ocln,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19597490
Smad4,Ocln,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19597490
Snai1,Ocln,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15790452;19597490
Jun,Odc1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12054494
Myc,Odc1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11551968;7478599;7729426;8356088
Sp1,Oprd1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11455020
Sp3,Oprd1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12890683
Ets1,Oprd1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11583993
Sp1,Oprm1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12670713;9765304
Spi1,Oprm1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14998994
Sp1,Parp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17961220
Sirt1,Parp1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19470756
Pax6,Pax2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11003833
Yy1,Pax2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15013809
Pou5f1,Pax2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15580630
Hnf1a,Pax4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12837760
Mitf,Pax4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23610061
Mitf,Pax6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23610061;15166150
Nfkb1,Pck1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21406501
Foxo1,Pck1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16804074;20421289;20655898
Hnf1a,Pck1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,7935427
Cebpb,Pck1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10224054;12560325
Cebpa,Pck1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12560325
Trp53,Pcna,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,7909518
E2f1,Pcna,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9649317
Sp3,Pcyt1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10744779
Ets1,Pcyt1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19168148;16157598
Ets2,Pcyt1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19168148
Sp1,Pde6b,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15781457
Sp3,Pde6b,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15781457
Nfkb1,Pdk4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21625432
Rela,Pdk4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21625432
E2f1,Pdk4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21625432
Foxo1,Pdk4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17079227
Egr1,Pdx1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17150967
Foxo1,Pdx1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12488434;21335550;16644672
Foxa2,Pdx1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12145169;9315659;10652343;12052878;19141476
Sox9,Pdx1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21829703;20448145
Usf1,Pdx1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8567692
Sp1,Pemt,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20150657
Jun,Penk,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,2512642
Fos,Penk,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,2512642
Nfkb1,Per1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22823397
Nfkb1,Per2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22823397
Trp53,Perp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14707288
Ets1,Pf4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12609849
Usf1,Pf4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15187018
Trp53,Pias3,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11877452
Foxo1,Pik3r1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19944124
Mitf,Pik3r1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21791431
Ctnnb1,Pitx2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14636578
Trp53,Pkd1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16931520
Sp1,Pld2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23898047
Trp53,Plk3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18445702
Nfkb1,Pmaip1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20195489
Trp53,Pml,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14992722
Ctnnb1,Pml,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12384561
Trp53,Polk,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15202001
Lef1,Pou1f1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20807761
Sox2,Pou1f1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22945632
Lef1,Pou5f1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20659708
Sox2,Pou5f1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15988017;15557334;18213644
Nfkb1,Ppara,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,10601241;20054868
Rela,Ppara,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20054868
Hnf4a,Ppara,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19933841;19708687;9893938
Nfe2l2,Pparg,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24039005;20089859;20224069
Runx2,Pparg,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15205891
Foxo1,Pparg,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19289458
Ep300,Pparg,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18710950
Cebpb,Pparg,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16431920;23178591
Nfkb1,Ppargc1a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17003343
Smad3,Ppargc1a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24002653
Srebf1,Ppargc1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19962449
Hnf4a,Ppargc1a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15155787
Cebpb,Ppargc1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19491401
Jun,Ppp1r3b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11123319
Fos,Ppp1r3b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11123319
Stat3,Prdm1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20064451
Ets1,Prdm1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24019486
Hnf1a,Prdm1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,26214740
Sp1,Prkra,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16339759
Sp3,Prkra,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16339759
Trp53,Prnp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24339999
Sp1,Proc,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21745612
Sp3,Proc,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21745612
Trp53,Psen1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,10805794
Sp1,Ptdss1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21068393
Sp3,Ptdss1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21068393
Nfkb1,Pten,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14729949
Rela,Pten,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14729949
Stat3,Pten,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22055460
Egr1,Pten,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12917634;19597464
Trp53,Ptgds,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17675519
Nfe2l2,Ptgds,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24029383
Spi1,Ptgds,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18680724;19181746
Esr2,Ptgds,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12829806
Sp1,Ptgs1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12089157
Esr1,Ptgs1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15705965
Esr2,Ptgs1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15705965
Sp1,Ptgs2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17012241
Trp53,Ptgs2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,10196169
Rela,Ptgs2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20108167;21149600
Jun,Ptgs2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14552705;10842315;17996688;23172667
Sp3,Ptgs2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17012241
Nfkb1,Ptpn4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10338504
Jun,Ptpn4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10338504
E2f1,Rb1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16738312
Myod1,Rb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12105204;7970718;12665587
Stat3,Rc3h1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25062971
Stat1,Rc3h1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25062971
Rel,Rc3h1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25062971
Nfkb1,Rel,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8241021;17892401;9079634
Stat3,Rela,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12057007
Sirt1,Rela,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,25270204
Nfkb1,Relb,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17369819;16357145;17446175
Jun,Relb,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17369819;17446175
Sp1,Ren1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14761860
Sp3,Ren1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14761860
Usf1,Ren1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11564732
Sp1,Rest,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21179468
Sp1,Rho,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15781457
Mef2c,Rho,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21715356
Sp1,Rhox5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19285002
Smad3,Rif1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,25569105
Pou5f1,Rif1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25569105
Nfkb1,Ripk2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19693652
Rela,Ripk2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19693652
Trp53,Runx1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23679839
Smad1,Runx1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17213321
Sp1,Runx2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19017640
Ctnnb1,Runx2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16043491
Ets1,Runx2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12560895
Nfe2l2,Runx2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24521946
Smad3,Runx2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16227596
Twist1,Runx3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22685315
Gata3,Runx3,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23310955
Cebpb,Scgb1a1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14500549
Cebpa,Scgb1a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10745028;11193754;12161423
Smad4,Scnn1a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18045816
Sirt1,Scnn1a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19491102
Sp1,Sct,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17875929
Sp1,Sell,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19041738
Ets1,Sell,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19041738
Foxo1,Sell,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20831893;19136962
Irf1,Sell,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19041738
Nfkb1,Selp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11457873;9545354
Rela,Selp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9545354
Trp53,Serpinb5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17700520
Jun,Serpinb5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21187389
Ets1,Serpinb5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21187389
Jun,Serpine1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9125213
Egr1,Serpine1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17197388
Smad3,Serpine1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24002653
Ppara,Serpine1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20400680
Yy1,Serpine1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12808092
Rela,Serpine2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16697375
Ppara,Serpine2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20400680
Sp1,Setdb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17142323
Sp3,Setdb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17142323
Crebbp,Setdb1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18319327
Pax6,Sfrp2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11222670
Mef2c,Sfrp2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22161640
Nfkb1,Shh,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18772349
Pax6,Shh,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24073291
Sp1,Sirt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23843607;21216258
Smad3,Sirt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22610349;23161884
Nrf1,Sirt6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20816089
Sirt1,Sirt6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20816089
Trp53,Siva1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15105421
E2f1,Siva1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15105421
Ppara,Slc27a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9933587
Pparg,Slc27a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9933587
Sp1,Slc2a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18154738;18249093
Nfkb1,Slc2a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18249093
Jun,Slc2a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9407130
Ctnnb1,Slc2a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19129494
Sp1,Slc2a3,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15054091
Sp3,Slc2a3,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15054091
Nfkb1,Slc2a4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23462193
Srebf1,Slc2a4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16787385
Esr1,Slc2a4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16423895;19366879
Esr2,Slc2a4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16423895;19366879
Cebpa,Slc2a4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12641495
Sp1,Slc5a1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15664265;20060848
Sox9,Slc6a19,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24121511
Hnf1a,Slc6a19,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24121511
Hnf4a,Slc6a19,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24121511
Sp1,Slc9a2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11287330
Sp3,Slc9a2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11287330
Nr0b2,Smad3,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17074765
Runx2,Smad6,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17215250
Smad1,Smad6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11585340;17215250;10692396
Smad3,Smad7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10559222;15886838
Myod1,Smad7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16880533
Nr0b2,Smad7,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17074765
Hif1a,Snai1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21257819
Nanog,Snai1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25240402
Stat1,Socs1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12438448
Irf1,Socs1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10820262
Stat3,Socs3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10359822;19759305;22179221;17947670;18571793;22349108
Stat1,Socs3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10359822
Nfkb1,Sod2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11880364
Trp53,Sod2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19226370
Rela,Sod2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11880364;10760955
Rel,Sod2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11880364
Sp1,Sod3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15451065
Sp3,Sod3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15451065
Foxa2,Sox2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22696295
Stat3,Sox6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21094641;24066135
Runx2,Sox6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20181744
Nfkb1,Sox9,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,10652367
Twist1,Sox9,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22532563
Sp3,Sp1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19306294;9164849
Sp1,Sp4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11245974
Nfe2l2,Sp7,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24521946
Runx2,Sp7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11792318;16000303;16574347
Mef2c,Sp7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21652706
Notch1,Sp7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18297084
Msx2,Sp7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12925529
Jun,Spi1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9988737
Stat3,Spi1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11889125;23727242
Fos,Spi1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9988737
Notch1,Spi1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12759431
Jun,Spp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12200434;12815619;19880446
Ets1,Spp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16670084
Runx2,Spp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16195230;16670084;23644099;10066751;18410224;24106268
Ppara,Spp1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17360982
Ep300,Spp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18410224
Sp1,Src,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10625617
Nfkb1,Src,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15541355
Trp53,Src,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18310282
Fos,Src,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15541355
Sp1,Srebf1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20179320;24458133;10918064;15462672;23315940
Trp53,Srebf1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12734185
Stat3,Srebf1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15240880
Foxo1,Srebf1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20868688;22511764
Sirt1,Srebf1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22984430
Jun,Srxn1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20826812
Nfe2l2,Srxn1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18445702;18761713;19027064;20826812;21466852
Fos,Srxn1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18761713
Smad3,Sstr2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11278805
Smad4,Sstr2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11278805
Ep300,Stat5a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21356387
Esr1,Stat5a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11682624
Esr2,Stat5a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11682624
Nfkb1,Stk39,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18787102;19343169
Rela,Stk39,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18787102
Smad3,Tagln,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17981798;16224064
Msx2,Tagln,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17030628
Nfkb1,Tapbp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12942211
Foxa2,Tbx1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12533514
Pitx2,Tbx1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20129917
Twist1,Tbx20,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20804746
Smad1,Tbx20,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11812735;20460370
Ppara,Tbx21,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12816998
Stat1,Tbx21,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11752460;22438254
Twist1,Tbx21,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22685315
Gata3,Tbx21,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17717199;23232398
Notch1,Tcf3,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9528794
Trp53,Tcf4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14990988
Stat3,Tcf4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23033267
Ctnnb1,Tcf4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10489374;11943708
Pax6,Tcf4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9784592
Yy1,Tcf4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17640524
Nfkb1,Tcrg-C1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8756615
Rela,Tcrg-C1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8756615
Rel,Tcrg-C1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8756615
Sp1,Tec,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9177279;19843184
Nfkb1,Tec,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19843184
Rela,Tec,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19843184
Sp1,Tert,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15511642;11562751
Trp53,Tert,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18754863
Sp3,Tert,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15511642;11562751
Myc,Tert,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10022128;15511642;11562751;16880523
Sp1,Tesc,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20540995
Sp3,Tesc,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20540995
Trp53,Tff2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19541923
Jun,Tff2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19541923
Ep300,Tff2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19541923
Fos,Tff2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19541923
Nfkb1,Tgfb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19657147
Jun,Tgfb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17270292
Stat3,Tgfb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16474852
Nfe2l2,Tgfb1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20103708
Smad4,Tgfb1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15312519
Ets1,Tgfbr2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14976186
Smad4,Tgfbr2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21881210
Sp1,Tgm1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15061870
Jun,Tgm1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15061870
Sp1,Thra,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14715929
